episode,reward,pending_avg,delivered_total,ontime,late,avg_fatigue,pct_resting,epsilon,sec_elapsed,eval_reward,eval_pending_avg,eval_delivered_total,eval_ontime,eval_late
1,-23204.02,116.293,134,105,29,5.4032,19.5,0.0812,14.75,,,,,
2,-25589.877,111.618,151,118,33,6.1312,22.944,0.0808,31.49,,,,,
3,-29080.558,113.209,141,95,46,5.6949,21.907,0.0804,46.45,,,,,
4,-26879.715,114.988,137,98,39,5.7433,19.574,0.08,65.05,,,,,
5,-28224.515,115.647,143,94,49,5.9949,20.37,0.0796,81.92,,,,,
6,-30961.44,121.631,130,78,52,5.3091,13.407,0.0792,101.23,,,,,
7,-31157.025,127.293,123,77,46,4.6194,8.833,0.0788,123.24,,,,,
8,-29914.993,118.957,140,98,42,5.4191,17.815,0.0784,138.46,,,,,
9,-30540.0,124.483,122,87,35,5.1224,9.944,0.078,158.65,,,,,
10,-27923.6,125.751,112,78,34,4.844,9.167,0.0776,185.96,,,,,
11,-26390.992,126.441,104,72,32,4.6587,8.407,0.0772,207.76,,,,,
12,-32014.399,127.338,117,67,50,5.1143,9.241,0.0768,229.64,,,,,
13,-29079.164,118.659,133,92,41,5.6505,16.315,0.0764,250.5,,,,,
14,-35442.778,127.54,124,74,50,4.7882,10.352,0.076,272.34,,,,,
15,-24969.544,114.916,130,96,34,5.7743,13.926,0.0757,294.44,,,,,
16,-30830.351,122.287,125,84,41,5.3076,11.204,0.0753,317.09,,,,,
17,-25742.663,117.37,132,91,41,5.5901,14.926,0.0749,341.63,,,,,
18,-26929.179,120.087,126,91,35,5.4643,12.833,0.0745,368.42,,,,,
19,-25078.601,110.184,144,106,38,6.0735,22.648,0.0742,389.7,,,,,
20,-33236.451,118.588,135,85,50,5.7048,17.5,0.0738,407.57,,,,,
21,-25220.624,110.746,141,108,33,5.6837,24.444,0.0734,417.04,,,,,
22,-26891.559,106.57,155,115,40,6.2897,27.796,0.0731,431.67,,,,,
23,-27494.383,107.61,156,113,43,6.1964,27.778,0.0727,443.56,,,,,
24,-31771.676,117.543,145,95,50,5.4654,22.037,0.0723,456.96,,,,,
25,-35652.855,122.188,139,101,38,5.0199,17.333,0.072,475.39,,,,,
26,-33892.16,119.609,137,90,47,5.5337,16.296,0.0716,492.43,,,,,
27,-30865.136,121.222,130,82,48,5.3824,13.87,0.0712,512.15,,,,,
28,-28755.103,117.903,137,94,43,5.7545,16.574,0.0709,533.69,,,,,
29,-31354.538,122.309,130,73,57,5.1569,14.352,0.0705,557.06,,,,,
30,-29507.695,120.477,136,79,57,5.159,15.481,0.0702,581.1,,,,,
31,-23630.704,116.616,141,110,31,5.4036,17.556,0.0698,604.99,,,,,
32,-26359.881,111.302,146,104,42,6.2612,22.833,0.0695,625.49,,,,,
33,-27210.862,112.284,150,98,52,5.9711,22.704,0.0691,646.14,,,,,
34,-26143.475,109.137,153,107,46,6.1006,25.759,0.0688,665.96,,,,,
35,-26552.687,115.072,142,106,36,5.5811,18.944,0.0684,689.45,,,,,
36,-25656.233,115.081,142,111,31,5.6243,18.185,0.0681,715.56,,,,,
37,-25435.394,110.358,150,105,45,6.179,24.519,0.0678,730.85,,,,,
38,-27105.67,115.201,148,97,51,5.736,21.981,0.0674,745.24,,,,,
39,-27604.962,111.637,153,106,47,5.778,25.796,0.0671,759.18,,,,,
40,-24518.407,115.624,128,99,29,5.262,19.463,0.0668,771.89,,,,,
41,-25924.588,108.383,156,118,38,6.1743,27.407,0.0664,786.63,,,,,
42,-26484.463,111.491,154,97,57,5.9087,24.741,0.0661,801.52,,,,,
43,-29551.555,117.999,143,95,48,5.4534,18.907,0.0658,819.47,,,,,
44,-27459.015,117.093,135,102,33,5.4295,18.685,0.0654,833.71,,,,,
45,-29370.054,119.228,134,97,37,5.2208,16.981,0.0651,855.23,,,,,
46,-27865.253,117.067,137,99,38,5.6383,17.463,0.0648,876.94,,,,,
47,-25364.559,119.174,120,83,37,5.2517,13.204,0.0645,901.08,,,,,
48,-28099.185,115.413,140,94,46,5.5078,19.019,0.0641,923.39,,,,,
49,-28369.494,116.527,140,91,49,5.639,18.685,0.0638,945.53,,,,,
50,-29652.567,115.188,144,94,50,5.8359,20.333,0.0635,1229.41,-30511.566,117.563,142.0,96.0,46.0
51,-29643.529,114.257,146,94,52,5.9905,21.315,0.0632,1244.09,,,,,
52,-28164.248,114.746,137,77,60,5.6566,20.444,0.0629,1257.22,,,,,
53,-27716.512,121.863,115,84,31,5.0962,13.185,0.0625,1274.82,,,,,
54,-30678.414,121.327,132,79,53,5.8016,13.426,0.0622,1292.51,,,,,
55,-28523.168,119.29,133,89,44,5.3477,15.222,0.0619,1316.39,,,,,
56,-30496.982,117.103,138,94,44,5.4451,17.722,0.0616,1340.05,,,,,
57,-31608.988,113.618,148,82,66,6.0095,22.463,0.0613,1353.94,,,,,
58,-29036.197,122.929,128,94,34,4.8825,15.037,0.061,1367.51,,,,,
59,-28344.622,120.804,132,85,47,5.452,15.833,0.0607,1381.99,,,,,
60,-29953.358,120.642,133,80,53,5.4537,15.167,0.0604,1399.54,,,,,
61,-27110.085,113.067,143,98,45,5.9505,20.944,0.0601,1418.55,,,,,
62,-27384.839,113.697,140,85,55,5.6572,21.259,0.0598,1438.81,,,,,
63,-27135.993,112.596,136,87,49,5.9803,19.389,0.0595,1462.45,,,,,
64,-29866.929,112.913,140,98,42,6.0815,21.796,0.0592,1481.06,,,,,
65,-27935.484,115.302,133,80,53,5.4857,20.667,0.0589,1498.78,,,,,
66,-26621.697,111.018,135,93,42,5.9255,20.296,0.0586,1514.16,,,,,
67,-27167.804,110.981,143,96,47,5.798,22.407,0.0583,1536.54,,,,,
68,-27336.07,110.657,145,96,49,5.822,23.519,0.058,1557.77,,,,,
69,-27278.979,115.393,138,99,39,5.3091,19.63,0.0577,1582.68,,,,,
70,-29144.034,114.424,144,96,48,5.8563,21.315,0.0574,1603.45,,,,,
71,-25480.088,109.564,149,107,42,6.0747,24.389,0.0571,1626.07,,,,,
72,-25940.369,108.653,150,100,50,6.2188,25.333,0.0569,1646.93,,,,,
73,-24275.021,110.31,146,116,30,6.122,22.13,0.0566,1669.02,,,,,
74,-24691.365,110.939,141,97,44,5.9041,21.759,0.0563,1686.78,,,,,
75,-27955.87,110.357,148,98,50,6.1412,24.278,0.056,1706.69,,,,,
76,-31992.271,118.971,138,93,45,5.6919,17.815,0.0557,1721.91,,,,,
77,-24410.071,117.858,134,111,23,5.2348,18.093,0.0555,1737.13,,,,,
78,-35045.836,123.552,138,102,36,4.8687,17.519,0.0552,1753.15,,,,,
79,-29324.666,120.971,129,86,43,5.0401,14.648,0.0549,1768.11,,,,,
80,-27622.708,120.857,126,93,33,5.1735,11.148,0.0546,1792.1,,,,,
81,-29901.567,115.672,145,102,43,5.4803,21.426,0.0544,1808.58,,,,,
82,-30045.696,119.756,132,83,49,5.137,15.815,0.0541,1832.42,,,,,
83,-26336.468,120.591,133,100,33,5.283,13.981,0.0538,1855.41,,,,,
84,-27739.359,125.111,128,80,48,4.6679,12.074,0.0535,1878.38,,,,,
85,-30334.366,123.024,132,89,43,5.1873,13.13,0.0533,1899.09,,,,,
86,-27414.447,119.519,132,96,36,4.9454,15.87,0.053,1914.6,,,,,
87,-23715.772,115.963,135,102,33,5.4328,18.148,0.0527,1930.42,,,,,
88,-25403.779,122.052,124,102,22,4.541,14.944,0.0525,1941.7,,,,,
89,-27252.404,115.35,142,110,32,5.6188,18.889,0.0522,1960.22,,,,,
90,-24588.768,112.043,148,116,32,5.9916,22.926,0.052,1975.97,,,,,
91,-26780.653,122.153,130,100,30,5.1147,14.852,0.0517,1994.48,,,,,
92,-25913.151,113.19,148,105,43,5.6803,22.222,0.0514,2013.19,,,,,
93,-27082.06,110.779,152,111,41,6.1184,25.759,0.0512,2027.42,,,,,
94,-30073.008,117.364,144,104,40,5.3171,19.778,0.0509,2043.88,,,,,
95,-34467.803,122.934,128,79,49,5.3839,12.278,0.0507,2060.74,,,,,
96,-28372.499,124.164,126,92,34,4.9156,12.981,0.0504,2075.79,,,,,
97,-24976.966,118.578,137,113,24,5.2313,16.296,0.0502,2095.42,,,,,
98,-24809.493,118.81,124,97,27,5.1927,15.833,0.05,2107.84,,,,,
99,-30487.409,122.437,133,97,36,5.3434,12.611,0.05,2127.12,,,,,
100,-27746.934,117.754,138,109,29,5.6396,16.37,0.05,2433.46,-24547.783,123.797,99.0,77.0,22.0
